ParkName,partySize,RateType,BookingType,Equipment,
Amherst Shore,4,Full,CampsitePermit,Single Tent,
Smileys,3,Full,CampsitePermit,Less than 40ft,
Mira River,3,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
Amherst Shore,4,Full,CampsitePermit,Single Tent,
Mira River,1,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Less than 30ft,
Graves Island,4,Full,CampsitePermit,Tents,
Blomidon,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,3,Full,CampsitePermit,Single Tent,
Dollar Lake,4,Full,CampsitePermit,Less than 20ft,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Cape Chignecto,2,Full,BackcountryPermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Single Tent,
Thomas Raddall,4,Full,CampsitePermit,Less than 30ft,
Porters Lake,2,Full,CampsitePermit,Less than 30ft,
Laurie,2,Senior,CampsitePermit,Less than 30ft,
Blomidon,2,Full,CampsitePermit,Tents,
Porters Lake,6,Full,CampsitePermit,Less than 20ft,
Mira River,1,Senior,CampsitePermit,Less than 20ft,
Five Islands,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Mira River,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,3,Full,CampsitePermit,Single Tent,
Dollar Lake,4,Full,CampsitePermit,Less than 20ft,
Laurie,3,Full,CampsitePermit,Less than 20ft,
Mira River,6,Full,CampsitePermit,Single Tent,
Boylston,2,Full,CampsitePermit,Less than 40ft,
Thomas Raddall,3,Full,CampsitePermit,Less than 30ft,
Dollar Lake,1,Full,CampsitePermit,Single Tent,
Ellenwood Lake,2,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 30ft,
Mira River,2,Full,CampsitePermit,Single Tent,
Rissers Beach,5,Full,CampsitePermit,Less than 20ft,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Porters Lake,3,Full,CampsitePermit,Tents,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Boylston,2,Full,CampsitePermit,Single Tent,
Salsman,1,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,2,Full,CampsitePermit,Less than 20ft,
Graves Island,4,Full,CampsitePermit,Tents,
Cape Chignecto,4,Full,BackcountryPermit,Single Tent,
The Islands,1,Full,CampsitePermit,Single Tent,
Smileys,4,Full,CampsitePermit,Tents,
Mira River,2,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,2,Senior,CampsitePermit,Less than 30ft,
Caribou Munroes,5,Full,CampsitePermit,Single Tent,
Laurie,4,Full,CampsitePermit,Less than 30ft,
Mira River,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Senior,CampsitePermit,Single Tent,
The Islands,2,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,4,Full,CampsitePermit,Single Tent,
Salsman,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Battery,4,Full,CampsitePermit,Tents,
Mira River,4,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Rissers Beach,3,Full,CampsitePermit,Less than 20ft,
Graves Island,3,Full,CampsitePermit,Less than 40ft,
Smileys,2,Full,CampsitePermit,Single Tent,
Ellenwood Lake,2,FULL,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,2,Full,CampsitePermit,Less than 20ft,
Dollar Lake,5,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,3,Senior,CampsitePermit,Less than 30ft,
Graves Island,2,Senior,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Less than 30ft,
Laurie,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Less than 20ft,
The Islands,2,Full,CampsitePermit,Less than 20ft,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Amherst Shore,3,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Less than 30ft,
Amherst Shore,4,Full,CampsitePermit,Less than 30ft,
Graves Island,2,Full,CampsitePermit,Less than 20ft,
Five Islands,5,Full,CampsitePermit,Less than 20ft,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Graves Island,2,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,2,Full,CampsitePermit,Tents,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
Blomidon,3,Full,CampsitePermit,Less than 20ft,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Porters Lake,4,Full,CampsitePermit,Single Tent,
Boylston,2,Full,CampsitePermit,Less than 30ft,
Porters Lake,5,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Cape Chignecto,2,Full,BackcountryPermit,Single Tent,
Valleyview,2,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Less than 20ft,
Porters Lake,2,Full,CampsitePermit,Less than 20ft,
Blomidon,3,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 40ft,
Mira River,4,Full,CampsitePermit,Less than 30ft,
Cape Chignecto,1,Full,BackcountryPermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Smileys,2,Full,CampsitePermit,Single Tent,
Rissers Beach,1,Full,CampsitePermit,Single Tent,
Amherst Shore,4,Full,CampsitePermit,Single Tent,
Laurie,2,Full,CampsitePermit,Single Tent,
The Islands,2,Senior,CampsitePermit,Less than 40ft,
Mira River,2,Full,CampsitePermit,Less than 20ft,
Salsman,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,3,Senior,CampsitePermit,Single Tent,
Five Islands,3,Full,CampsitePermit,Less than 30ft,
Blomidon,4,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,2,Senior,CampsitePermit,Less than 30ft,
Whycocomagh,2,Full,CampsitePermit,Less than 30ft,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Single Tent,
Rissers Beach,4,Full,CampsitePermit,Single Tent,
Boylston,2,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Less than 30ft,
Porters Lake,3,Full,CampsitePermit,Single Tent,
Rissers Beach,4,Full,CampsitePermit,Less than 30ft,
Battery,3,Full,CampsitePermit,Single Tent,
Graves Island,2,Senior,CampsitePermit,Less than 20ft,
Battery,2,Full,CampsitePermit,Single Tent,
Cape Chignecto,1,Full,BackcountryPermit,Single Tent,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Mira River,6,Full,CampsitePermit,Less than 30ft,
Graves Island,4,Full,CampsitePermit,Less than 40ft,
Graves Island,2,Full,CampsitePermit,Less than 20ft,
Five Islands,2,Full,CampsitePermit,Tents,
Graves Island,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 40ft,
Amherst Shore,2,Full,CampsitePermit,Less than 20ft,
Amherst Shore,2,Senior,CampsitePermit,Single Tent,
Laurie,3,Full,CampsitePermit,Less than 20ft,
Rissers Beach,4,Full,CampsitePermit,Less than 30ft,
Porters Lake,3,Veteran,CampsitePermit,Less than 30ft,
Rissers Beach,4,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Ellenwood Lake,3,Full,CampsitePermit,Less than 30ft,
Rissers Beach,1,Full,CampsitePermit,Less than 30ft,
Rissers Beach,6,Full,CampsitePermit,Tents,
Whycocomagh,4,Full,YurtPermit,Tents,
Whycocomagh,4,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Porters Lake,4,Full,CampsitePermit,Tents,
Valleyview,5,Full,CampsitePermit,Less than 30ft,
Five Islands,2,Full,CampsitePermit,Single Tent,
Dollar Lake,4,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,3,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Senior,CampsitePermit,Single Tent,
Battery,4,Full,CampsitePermit,Single Tent,
Mira River,1,Full,CampsitePermit,Less than 20ft,
Blomidon,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Porters Lake,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,4,Full,CampsitePermit,Single Tent,
Amherst Shore,4,Senior,CampsitePermit,Less than 30ft,
Ellenwood Lake,4,Full,CampsitePermit,Single Tent,
Dollar Lake,5,Full,CampsitePermit,Tents,
Thomas Raddall,3,Full,CampsitePermit,Less than 20ft,
Smileys,2,Senior,CampsitePermit,Less than 20ft,
The Islands,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Less than 20ft,
Mira River,2,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,6,Full,CampsitePermit,Tents,
Graves Island,1,Senior,CampsitePermit,Single Tent,
Ellenwood Lake,3,Full,CampsitePermit,Less than 20ft,
Dollar Lake,2,Full,CampsitePermit,Less than 20ft,
Battery,2,Senior,CampsitePermit,Single Tent,
Five Islands,4,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,3,Full,CampsitePermit,Less than 30ft,
Five Islands,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Mira River,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Smileys,2,Senior,CampsitePermit,Less than 30ft,
Smileys,4,Full,CampsitePermit,Less than 40ft,
Smileys,2,Full,CampsitePermit,Single Tent,
Mira River,6,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,4,Full,CampsitePermit,Less than 30ft,
Battery,2,Senior,CampsitePermit,Less than 30ft,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Rissers Beach,4,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Single Tent,
Mira River,2,Senior,CampsitePermit,Less than 20ft,
Battery,3,FULL,CampsitePermit,Greater than 40ft,
Ellenwood Lake,3,Full,CampsitePermit,Less than 30ft,
Rissers Beach,4,Full,CampsitePermit,Single Tent,
Battery,2,Senior,CampsitePermit,Single Tent,
Dollar Lake,2,Senior,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Less than 30ft,
Five Islands,4,Full,CampsitePermit,Tents,
Battery,4,Full,CampsitePermit,Tents,
Rissers Beach,3,Full,CampsitePermit,Less than 20ft,
Whycocomagh,2,Full,CampsitePermit,Single Tent,
Rissers Beach,3,Full,CampsitePermit,Single Tent,
Smileys,2,Full,CampsitePermit,Less than 30ft,
Graves Island,2,Full,CampsitePermit,Single Tent,
Salsman,4,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Blomidon,4,Full,CampsitePermit,Tents,
Smileys,5,Full,CampsitePermit,Single Tent,
Dollar Lake,4,Full,CampsitePermit,Less than 20ft,
Dollar Lake,6,Full,CampsitePermit,Tents,
Ellenwood Lake,2,Full,CampsitePermit,Less than 20ft,
Battery,1,Senior,CampsitePermit,Single Tent,
Porters Lake,1,Full,CampsitePermit,Single Tent,
Porters Lake,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,6,Full,CampsitePermit,Greater than 40ft,
Valleyview,1,Full,CampsitePermit,Single Tent,
Thomas Raddall,3,Full,CampsitePermit,Less than 30ft,
Ellenwood Lake,2,Full,CampsitePermit,Single Tent,
Mira River,3,Full,CampsitePermit,Less than 30ft,
Whycocomagh,1,Full,CampsitePermit,Single Tent,
Ellenwood Lake,4,Full,CampsitePermit,Less than 20ft,
Dollar Lake,2,Full,CampsitePermit,Single Tent,
Dollar Lake,2,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Mira River,5,Full,CampsitePermit,Single Tent,
Smileys,4,Full,CampsitePermit,Less than 20ft,
Blomidon,1,Full,CampsitePermit,Single Tent,
Graves Island,5,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Single Tent,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Tents,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Dollar Lake,3,Full,CampsitePermit,Single Tent,
Caribou Munroes,3,Full,CampsitePermit,Less than 30ft,
Valleyview,2,Senior,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,4,Full,CampsitePermit,Less than 20ft,
Porters Lake,3,Full,CampsitePermit,Single Tent,
Ellenwood Lake,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Laurie,7,Full,CampsitePermit,Tents,
Amherst Shore,4,Full,CampsitePermit,Less than 30ft,
Valleyview,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Graves Island,2,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,2,Full,CampsitePermit,Less than 30ft,
Dollar Lake,4,Full,CampsitePermit,Single Tent,
Mira River,3,Full,CampsitePermit,Single Tent,
Laurie,4,Full,CampsitePermit,Single Tent,
Whycocomagh,2,Full,CampsitePermit,Less than 40ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 40ft,
Dollar Lake,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Tents,
Rissers Beach,4,Full,CampsitePermit,Single Tent,
Five Islands,4,Full,CampsitePermit,Single Tent,
Amherst Shore,4,Full,CampsitePermit,Single Tent,
Smileys,3,Full,CampsitePermit,Less than 20ft,
Mira River,3,Full,CampsitePermit,Less than 30ft,
Porters Lake,2,Full,CampsitePermit,Less than 20ft,
Battery,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Smileys,2,Full,CampsitePermit,Single Tent,
Mira River,3,Full,CampsitePermit,Single Tent,
Laurie,4,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Ellenwood Lake,1,Full,CampsitePermit,Single Tent,
Blomidon,4,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
The Islands,1,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Porters Lake,4,Full,CampsitePermit,Tents,
Graves Island,1,Senior,CampsitePermit,Single Tent,
Battery,1,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Less than 30ft,
Porters Lake,5,Full,CampsitePermit,Single Tent,
Amherst Shore,4,Full,CampsitePermit,Tents,
Caribou Munroes,2,Senior,CampsitePermit,Greater than 40ft,
Blomidon,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Cape Chignecto,2,Full,BackcountryPermit,Single Tent,
Blomidon,4,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,2,Full,CampsitePermit,Less than 40ft,
Caribou Munroes,4,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Less than 30ft,
Graves Island,4,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,3,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Graves Island,3,Full,CampsitePermit,Tents,
Thomas Raddall,5,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,3,Senior,CampsitePermit,Single Tent,
Blomidon,4,Full,CampsitePermit,Single Tent,
Whycocomagh,1,Full,CampsitePermit,Single Tent,
Graves Island,1,Senior,CampsitePermit,Single Tent,
Whycocomagh,1,Senior,CampsitePermit,Single Tent,
Laurie,2,Full,CampsitePermit,Less than 20ft,
Five Islands,2,Full,CampsitePermit,Single Tent,
Ellenwood Lake,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,3,Full,CampsitePermit,Less than 30ft,
Five Islands,3,Full,CampsitePermit,Single Tent,
Rissers Beach,3,Full,CampsitePermit,Less than 20ft,
Boylston,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,4,Full,CampsitePermit,Less than 20ft,
Valleyview,4,Full,CampsitePermit,Less than 20ft,
Rissers Beach,6,Full,CampsitePermit,Tents,
Whycocomagh,1,Full,CampsitePermit,Single Tent,
Laurie,1,Veteran,CampsitePermit,Single Tent,
Dollar Lake,5,Full,CampsitePermit,Tents,
Five Islands,2,Full,CampsitePermit,Single Tent,
Blomidon,4,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,Less than 20ft,
Porters Lake,2,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,2,Full,CampsitePermit,Less than 20ft,
Mira River,2,Full,CampsitePermit,Single Tent,
Dollar Lake,3,Full,CampsitePermit,Tents,
Salsman,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Mira River,3,Full,CampsitePermit,Single Tent,
The Islands,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Valleyview,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Dollar Lake,2,Full,CampsitePermit,Less than 30ft,
Porters Lake,3,Full,CampsitePermit,Single Tent,
Amherst Shore,1,Veteran,CampsitePermit,Less than 30ft,
Boylston,2,Full,CampsitePermit,Single Tent,
Whycocomagh,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Senior,CampsitePermit,Less than 30ft,
Rissers Beach,3,Veteran,CampsitePermit,Less than 20ft,
Blomidon,2,Full,CampsitePermit,Less than 40ft,
Laurie,1,Full,CampsitePermit,Single Tent,
Dollar Lake,4,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,3,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,5,Full,CampsitePermit,Less than 30ft,
Rissers Beach,3,Full,CampsitePermit,Tents,
Rissers Beach,4,Veteran,CampsitePermit,Less than 30ft,
Smileys,4,Full,CampsitePermit,Tents,
Rissers Beach,6,Full,CampsitePermit,Tents,
Blomidon,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Rissers Beach,3,Full,CampsitePermit,Tents,
Rissers Beach,4,Full,CampsitePermit,Less than 40ft,
Mira River,4,Full,CampsitePermit,Less than 30ft,
Mira River,4,Full,CampsitePermit,Single Tent,
Thomas Raddall,3,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Rissers Beach,3,Full,CampsitePermit,Single Tent,
Mira River,5,Full,CampsitePermit,Less than 30ft,
Five Islands,6,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 20ft,
Whycocomagh,4,Senior,CampsitePermit,Less than 30ft,
Whycocomagh,2,Full,CampsitePermit,Single Tent,
Graves Island,1,Full,CampsitePermit,Less than 30ft,
Laurie,4,Full,CampsitePermit,Tents,
Thomas Raddall,6,Full,CampsitePermit,Tents,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
Laurie,3,Full,CampsitePermit,Single Tent,
Cape Chignecto,1,Full,BackcountryPermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Less than 20ft,
Mira River,4,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,4,Full,CampsitePermit,Less than 20ft,
Rissers Beach,2,Senior,CampsitePermit,Less than 20ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Dollar Lake,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Senior,CampsitePermit,Single Tent,
Cape Chignecto,4,Full,BackcountryPermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Dollar Lake,6,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Five Islands,5,Full,CampsitePermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Tents,
Smileys,4,Full,CampsitePermit,Tents,
Blomidon,4,Full,CampsitePermit,Single Tent,
Salsman,4,Full,CampsitePermit,Less than 20ft,
Boylston,2,Veteran,CampsitePermit,Tents,
Five Islands,1,Senior,CampsitePermit,Single Tent,
Laurie,5,Full,CampsitePermit,Tents,
Rissers Beach,4,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,6,Full,CampsitePermit,Tents,
Boylston,6,Full,CampsitePermit,Tents,
Thomas Raddall,2,Full,CampsitePermit,Less than 30ft,
Blomidon,5,Full,CampsitePermit,Less than 20ft,
Blomidon,6,Full,CampsitePermit,Tents,
The Islands,3,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,6,Senior,CampsitePermit,Less than 20ft,
Ellenwood Lake,4,Full,CampsitePermit,Tents,
Five Islands,1,Full,CampsitePermit,Single Tent,
Caribou Munroes,3,Full,CampsitePermit,Single Tent,
The Islands,2,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Less than 20ft,
Blomidon,1,Full,CampsitePermit,Single Tent,
Whycocomagh,2,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Single Tent,
Whycocomagh,2,Senior,CampsitePermit,Single Tent,
Ellenwood Lake,4,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 20ft,
Battery,3,Senior,CampsitePermit,Single Tent,
Mira River,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,4,Full,CampsitePermit,Less than 40ft,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 20ft,
Valleyview,2,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Single Tent,
Dollar Lake,3,Full,CampsitePermit,Single Tent,
Dollar Lake,2,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,2,Full,CampsitePermit,Less than 40ft,
Mira River,2,Full,CampsitePermit,Single Tent,
Graves Island,4,Full,CampsitePermit,Single Tent,
Graves Island,4,Senior,CampsitePermit,Less than 30ft,
Smileys,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,3,Full,CampsitePermit,Single Tent,
Caribou Munroes,3,Full,CampsitePermit,Less than 40ft,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Mira River,5,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Senior,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 20ft,
Whycocomagh,2,Senior,CampsitePermit,Less than 20ft,
Smileys,4,Full,CampsitePermit,Tents,
Rissers Beach,1,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Senior,CampsitePermit,Tents,
Rissers Beach,6,Full,CampsitePermit,Tents,
Battery,6,Full,CampsitePermit,Tents,
Cape Chignecto,2,Full,BackcountryPermit,Single Tent,
Battery,3,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Battery,2,Full,CampsitePermit,Less than 30ft,
Mira River,2,Senior,CampsitePermit,Less than 20ft,
Smileys,2,Full,CampsitePermit,Less than 40ft,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Single Tent,
The Islands,6,Full,CampsitePermit,Single Tent,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Less than 20ft,
Blomidon,2,Senior,CampsitePermit,Less than 40ft,
Dollar Lake,1,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Senior,CampsitePermit,Less than 20ft,
Smileys,3,Full,CampsitePermit,Less than 20ft,
Mira River,4,Full,CampsitePermit,Single Tent,
Thomas Raddall,4,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Full,CampsitePermit,Less than 30ft,
Valleyview,1,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Single Tent,
Valleyview,2,Senior,CampsitePermit,Single Tent,
Laurie,4,Full,CampsitePermit,Less than 20ft,
Mira River,5,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,6,Full,CampsitePermit,Less than 30ft,
Porters Lake,3,Full,CampsitePermit,Less than 40ft,
Battery,2,Full,CampsitePermit,Less than 20ft,
Dollar Lake,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
Rissers Beach,5,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,Less than 30ft,
Mira River,4,Full,CampsitePermit,Less than 20ft,
Graves Island,4,Full,CampsitePermit,Less than 30ft,
Battery,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Porters Lake,4,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Less than 30ft,
Battery,2,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Graves Island,1,Senior,CampsitePermit,Single Tent,
Laurie,6,Full,CampsitePermit,Tents,
Battery,2,Full,CampsitePermit,Single Tent,
Rissers Beach,4,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Laurie,2,Full,CampsitePermit,Less than 20ft,
Five Islands,2,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,2,Senior,CampsitePermit,Single Tent,
Dollar Lake,3,Full,CampsitePermit,Single Tent,
Battery,2,Senior,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Single Tent,
Ellenwood Lake,3,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,3,Full,CampsitePermit,Less than 30ft,
Graves Island,4,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,1,Full,CampsitePermit,Less than 20ft,
Battery,2,Full,CampsitePermit,Less than 30ft,
Mira River,2,Full,CampsitePermit,Single Tent,
Smileys,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Less than 30ft,
Mira River,2,Full,CampsitePermit,Less than 30ft,
Dollar Lake,6,Full,CampsitePermit,Tents,
Mira River,3,Full,CampsitePermit,Less than 20ft,
